啊啊啊|a1 a1 a1
油然而生|you2 ran2 er2 sheng1
褎然冠首|you1 ran2 guan4 shou3
褎然举首|you1 ran2 ju3 shou3
褎然居首|you1 ran2 ju1 shou3
悠然自得|you1 ran2 zi4 de2
友人|you3 ren2
有人|you3 ren2
游人|you5 ren2
诱人|you4 ren2
友人会宿|you3 ren2 hui4 su4
有人家|you3 ren2 jia1
游刃有余|you5 ren4 you3 yu2
有日子|you3 ri4 zi3
优柔|you1 rou2
优柔寡断|you1 rou2 gua3 duan4
优柔厌饫|you1 rou2 yan4 yu4
优柔餍饫|you1 rou2 yan4 yu4
有如|you3 ru2
犹如|you2 ru2
褎如充耳|you1 ru2 chong1 er3
尤瑞克林|you2 rui4 ke4 lin2
油润|you2 run4
幼弱|you4 ruo4
又弱其干|you4 ruo4 qi2 gan4
尤萨恩|you2 sa4 en1
尤塞尔奈|you2 sai1 er3 nai4
犹塞克|you2 sai1 ke4
优散痛|you1 san4 tong4
有三有俩|you3 san1 you3 liang3
忧色|you1 se4
有色|you3 se4
有色金属|you3 se4 jin1 shu3
有色人种|you3 se4 ren2 zhong3
诱色网|you4 se4 wang3
有色眼镜|you3 se4 yan3 jing4
诱杀|you4 sha1
友善|you3 shan4
游山逛水|you5 shan1 guang4 shui3
游善权寺|you5 shan4 quan2 si4
游山玩景|you5 shan1 wan2 jing3
游山玩水|you5 shan1 wan2 shui3
忧伤|you1 shang1
游商|you5 shang1
邮商|you2 shang1
有伤风化|you3 shang1 feng1 hua4
优赏将吏|you1 shang3 jiang1 li4
釉上皮|you4 shang4 pi2
忧伤湿地|you1 shang1 shi1 di4
游商遗骨|you5 shang1 yi2 gu3
尤甚|you2 shen4
幽深|you1 shen1
有神|you3 shen2
有神论|you3 shen2 lun4
忧深思远|you1 shen1 si1 yuan3
有身子|you3 shen1 zi3
优生|you1 sheng1
优胜|you1 sheng4
有声|you3 sheng1
有生|you3 sheng1
有生力量|you3 sheng1 li4 liang4
优胜劣败|you1 sheng4 lie4 bai4
优胜劣汰|you1 sheng4 lie4 tai4
有生烈焰|you3 sheng1 lie4 yan4
有声没气|you3 sheng1 mei2 qi4
忧盛危明|you1 sheng4 wei1 ming2
有声无气|you3 sheng1 wu2 qi4
有声无实|you3 sheng1 wu2 shi2
优生学|you1 sheng1 xue2
有生以来|you3 sheng1 yi3 lai2
有声有色|you3 sheng1 you3 se4
优生优育|you1 sheng1 you1 yu4
优胜者|you1 sheng4 zhe3
有生之年|you3 sheng1 zhi1 nian2
犹生之年|you2 sheng1 zhi1 nian2
优势|you1 shi4
又是|you4 shi4
右使|you4 shi3
幼师|you4 shi1
幼时|you4 shi2
有事|you3 shi4
有时|you3 shi2
诱使|you4 shi3
邮市|you2 shi4
酉时|you3 shi2
右室房化|you4 shi4 fang2 hua4
有时候|you3 shi2 hou4
优势互补|you1 shi4 hu4 bu3
有事郊禋|you3 shi4 jiao1 yin1
优势抗原|you1 shi4 kang4 yuan2
幼食人花|you4 shi2 ren2 hua1
悠视网|you1 shi4 wang3
有恃无恐|you3 shi4 wu2 kong3
有恃毋恐|you3 shi4 wu2 kong3
有始无终|you3 shi3 wu2 zhong1
由是言之|you2 shi4 yan2 zhi1
有史以来|you3 shi3 yi3 lai2
有始有终|you3 shi3 you3 zhong1
有始有卒|you3 shi3 you3 zu2
有事之秋|you3 shi4 zhi1 qiu1
有识之士|you3 shi2 zhi1 shi4
优势种|you1 shi4 zhong3
右手|you4 shou3
右首|you4 shou3
幼兽|you4 shou4
邮售|you2 shou4
游手好闲|you5 shou3 hao3 xian2
右手画圆|you4 shou3 hua4 yuan2
右手举|you4 shou3 ju3
右手刃|you4 shou3 ren4
游手偷闲|you5 shou3 tou1 xian2
右手爪|you4 shou3 zhao3
有数|you3 shu4
油刷|you2 shua1
幼双帆龙|you4 shuang1 fan1 long2
油水|you2 shui3
游水|you5 shui3
游说|you2 shui4
有说有笑|you3 shuo1 you3 xiao4
幽思|you1 si1
忧思|you1 si1
游丝|you5 si1
有丝分裂|you3 si1 fen1 lie4
优思弗|you1 si1 fu2
尤斯洛|you2 si1 luo4
游思妄想|you5 si1 wang4 xiang3
有死无二|you3 si3 wu2 er4
油松|you2 song1
油松节|you2 song1 jie2
佑苏|you4 su1
有素|you3 su4
油酥|you2 su1
油酸|you2 suan1
油酸汞|you2 suan1 gong3
油酸钾|you2 suan1 jia3
油酸钠|you2 suan1 na4
油酸乙酯|you2 suan1 yi3 zhi3
幽邃|you1 sui4
釉髓|you4 sui3
有损无益|you3 sun3 wu2 yi4
有损压缩|you3 sun3 ya1 suo1
有损于|you3 sun3 yu2
有所|you3 suo3
釉梭|you4 suo1
釉索|you4 suo3
尤索克|you2 suo3 ke4
有所思|you3 suo3 si1
有所作为|you3 suo3 zuo4 wei2
犹太|you2 tai4
犹太教|you2 tai4 jiao4
犹太人|you2 tai4 ren2
游谈无根|you5 tan2 wu2 gen1
釉陶|you4 tao2
尤特酊|you2 te4 ding3
幼体|you4 ti3
幼蹄|you4 ti2
有蹄类|you3 ti2 lei4
油田|you2 tian2
有天没日|you3 tian1 mei2 ri4
有天无日|you3 tian1 wu2 ri4
有田有庭|you3 tian2 you3 ting2
油条|you2 tiao2
有条有理|you3 tiao2 you3 li3
游艇|you5 ting3
邮亭|you2 ting2
幼童|you4 tong2
油桐|you2 tong2
邮筒|you2 tong3
由头|you2 tou2
油头粉面|you2 tou2 fen3 mian4
油头光棍|you2 tou2 guang1 gun4
油头滑脸|you2 tou2 hua2 lian3
油头滑面|you2 tou2 hua2 mian4
油头滑脑|you2 tou2 hua2 nao3
有头没脑|you3 tou2 mei2 nao3
有头无脑|you3 tou2 wu2 nao3
有头无尾|you3 tou2 wu2 wei3
有头有脸|you3 tou2 you3 lian3
有头有脑|you3 tou2 you3 nao3
有头有尾|you3 tou2 you3 wei3
右腿|you4 tui3
尤脱欣|you2 tuo1 xin1
有外遇|you3 wai4 yu4
幽婉|you1 wan3
游玩|you5 wan2
有万其全|you3 wan4 qi2 quan2
有万斯年|you3 wan4 si1 nian2
幽玩忘归|you1 wan2 wang4 gui1
有望|you3 wang4
油汪汪|you2 wang1 wang1
右卫|you4 wei4
尤为|you2 wei2
幽微|you1 wei1
有为|you3 wei2
有味|you3 wei4
有味儿|you3 wei4 er2
幼猬精|you4 wei4 jing1
优维显|you1 wei2 xian3
右位心|you4 wei4 xin1
有问必答|you3 wen4 bi4 da2
有闻必录|you3 wen2 bi4 lu4
有文无行|you3 wen2 wu2 xing4
幼纹蝎|you4 wen2 xie1
有文章|you3 wen2 zhang1
有我无人|you3 wo3 wu2 ren2
诱我远学|you4 wo3 yuan3 xue2
尤物|you2 wu4
油污|you2 wu1
邮务|you2 wu4
有无法|you3 wu2 fa3
有无相通|you3 wu2 xiang1 tong1
尤物移人|you2 wu4 yi2 ren2
有物有则|you3 wu4 you3 ze2
尤溪|you2 xi1
有喜|you3 xi3
有戏|you3 xi4
有隙|you3 xi4
游戏|you5 xi4
游戏币|you5 xi4 bi4
游戏笔墨|you5 xi4 bi3 mo4
游戏尘寰|you5 xi4 chen2 huan2
尤希尔|you2 xi1 er3
游戏翰墨|you5 xi4 han4 mo4
有隙可乘|you3 xi4 ke3 cheng2
游戏疗法|you5 xi4 liao2 fa3
游戏人间|you5 xi4 ren2 jian1
游戏人世|you5 xi4 ren2 shi4
游戏三昧|you5 xi4 san1 mei4
游戏手|you5 xi4 shou3
游戏厅|you5 xi4 ting1
尤西乌斯|you2 xi1 wu1 si1
尤溪县|you2 xi1 xian4
游戏治疗|you5 xi4 zhi4 liao2
游侠|you5 xia2
游侠之弓|you5 xia2 zhi1 gong1
优先|you1 xian1
右舷|you4 xian2
悠闲|you1 xian2
攸县|you1 xian4
有线|you3 xian4
有限|you3 xian4
游仙|you5 xian1
有线电报|you3 xian4 dian4 bao4
有线电话|you3 xian4 dian4 hua4
有限点集|you3 xian4 dian3 ji2
优先队列|you1 xian1 dui4 lie4
有限公司|you3 xian4 gong1 si1
游闲公子|you5 xian2 gong1 zi3
优先股|you1 xian1 gu3
有线广播|you3 xian4 guang3 bo1
优先级|you1 xian1 ji2
优先级表|you1 xian1 ji2 biao3
有弦既鸣|you3 xian2 ji4 ming2
有限目标|you3 xian4 mu4 biao1
游仙区|you5 xian1 qu1
优先权|you1 xian1 quan2
游仙诗|you5 xian1 shi1
优先数|you1 xian1 shu4
有限网|you3 xian4 wang3
有限稀释|you3 xian4 xi1 shi4
有限性|you3 xian4 xing4
优贤扬历|you1 xian2 yang2 li4
优贤飏历|you1 xian2 yang2 li4
有限元法|you3 xian4 yuan2 fa3
优先约束|you1 xian1 yue1 shu4
悠闲自在|you1 xian2 zi4 zai4
幽香|you1 xiang1
油箱|you2 xiang1
游乡|you5 xiang1
诱降|you4 xiang2
邮箱|you2 xiang1
有向弧|you3 xiang4 hu2
游响停云|you5 xiang3 ting2 yun2
有向图|you3 xiang4 tu2
幼小|you4 xiao3
有效|you3 xiao4
有效分蘖|you3 xiao4 fen1 nie4
有效功率|you3 xiao4 gong1 lv4
有效过程|you3 xiao4 guo4 cheng2
釉小皮|you4 xiao3 pi2
有效期|you3 xiao4 qi1
有效请求|you3 xiao4 qing3 qiu2
有效射程|you3 xiao4 she4 cheng2
有效时间|you3 xiao4 shi2 jian1
有效输入|you3 xiao4 shu1 ru4
有效数字|you3 xiao4 shu4 zi4
有效位|you3 xiao4 wei4
有效项|you3 xiao4 xiang5
有效信元|you3 xiao4 xin4 yuan2
有效性|you3 xiao4 xing4
有效值|you3 xiao4 zhi2
有效字|you3 xiao4 zi4
有效字符|you3 xiao4 zi4 fu2
有效字数|you3 xiao4 zi4 shu4
友协|you3 xie2
有些|you3 xie1
诱胁|you4 xie2
幼泻宁|you4 xie4 ning2
又欣|you4 xin1
友欣|you3 xin1
忧心|you1 xin1
有心|you3 xin1
忧心忡忡|you1 xin1 chong1 chong1
忧心忉忉|you1 xin1 dao1 dao1
游心骇耳|you5 xin1 hai4 er3
忧心悄悄|you1 xin1 qiao1 qiao1
有心人|you3 xin1 ren2
忧心如捣|you1 xin1 ru2 dao3
忧心如焚|you1 xin1 ru2 fen2
有心无力|you3 xin1 wu2 li4
有心有意|you3 xin1 you3 yi4
游心寓目|you5 xin1 yu4 mu4
有幸|you3 xing4
有形|you3 xing2
有性|you3 xing4
油性|you2 xing4
游兴|you5 xing4
游行|you5 xing2
油性皮肤|you2 xing4 pi2 fu1
有性生殖|you3 xing4 sheng1 zhi2
有性世代|you3 xing4 shi4 dai4
有形损耗|you3 xing2 sun3 hao4
忧形于色|you1 xing2 yu2 se4
有性杂交|you3 xing4 za2 jiao1
幼凶狼|you4 xiong1 lang2
优秀|you1 xiu4
有序|you3 xu4
有序搜索|you3 xu4 sou1 suo3
优选|you1 xuan3
优选法|you1 xuan3 fa3
右旋糖酐|you4 xuan2 tang2 gan1
游学|you5 xue2
有血有肉|you3 xue4 you3 rou4
游学志|you5 xue2 zhi4
幼学壮行|you4 xue2 zhuang4 xing4
黝纁就瘗|you3 xun1 jiu4 yi4
优雅|you1 ya3
幼芽|you4 ya2
幽雅|you1 ya3
油压|you2 ya1
油压机|you2 ya1 ji1
幼芽接木|you4 ya2 jie1 mu4
尤亚姆巴|you2 ya4 mu3 ba1
优雅圣契|you1 ya3 sheng4 qi4
油烟|you2 yan1
蚰蜒|you2 yan2
油盐柴米|you2 yan2 chai2 mi3
油盐酱醋|you2 yan2 jiang4 cu4
有眼如盲|you3 yan3 ru2 mang2
有眼无瞳|you3 yan3 wu2 tong2
有眼无珠|you3 yan3 wu2 zhu1
有言在先|you3 yan2 zai4 xian1
悠扬|you1 yang2
酉阳|you3 yang2
酉阳县|you3 yang2 xian4
有氧训练|you3 yang3 xun4 lian4
又要|you4 yao4
幽咽|you1 ye4
诱掖|you4 ye1
诱掖后进|you4 ye1 hou4 jin4
诱掖奖劝|you4 ye1 jiang3 quan4
油页岩|you2 ye4 yan2
又夜雨|you4 ye4 yu3
油椰子|you2 ye1 zi3
优异|you1 yi4
友谊|you3 yi4
右移|you4 yi2
右翼|you4 yi4
有意|you3 yi4
有益|you3 yi4
游医|you5 yi1
游弋|you5 yi4
游艺|you5 yi4
游艺场|you5 yi4 chang3
有翼的|you3 yi4 de5
游艺会|you5 yi4 hui4
游艺机|you5 yi4 ji1
有义链|you3 yi4 lian4
侑以清乐|you4 yi3 qing1 le4
友谊赛|you3 yi4 sai4
有以善处|you3 yi3 shan4 chu4
友谊商店|you3 yi4 shang1 dian4
有意识|you3 yi4 shi2
游艺室|you5 yi4 shi4
有意识记|you3 yi4 shi2 ji4
友谊手镯|you3 yi4 shou3 zhuo2
有意思|you3 yi4 si1
有意无意|you3 yi4 wu2 yi4
友谊县|you3 yi4 xian4
有意学习|you3 yi4 xue2 xi2
有益于|you3 yi4 yu2
有益元素|you3 yi4 yuan2 su4
友谊镇|you3 yi4 zhen4
油印|you2 yin4
诱因|you4 yin1
诱引|you4 yin3
油印机|you2 yin4 ji1
诱引激素|you4 yin3 ji1 su4
尤因肉瘤|you2 yin1 rou4 liu2
幽影谷|you1 ying3 gu3
幽影突袭|you1 ying3 tu1 xi2
有英者菊|you3 ying1 zhe3 ju2
幽影之雾|you1 ying3 zhi1 wu4
有用|you3 yong4
游泳|you5 yong3
游泳板|you5 yong3 ban3
游泳池|you5 yong3 chi2
有用功|you3 yong4 gong1
游泳馆|you5 yong3 guan3
游泳速度|you5 yong3 su4 du4
有勇无谋|you3 yong3 wu2 mou2
有勇有谋|you3 yong3 you3 mou2
有勇知方|you3 yong3 zhi1 fang1
有用植物|you3 yong4 zhi2 wu4
游泳足|you5 yong3 zu2
优游|you1 you5
呦呦|you1 you1
幽幽|you1 you1
悠悠|you1 you1
悠游|you1 you5
悠悠荡荡|you1 you1 dang4 dang4
优游涵泳|you1 you5 han2 yong3
悠悠忽忽|you1 you1 hu1 hu1
悠悠然|you1 you1 ran2
优游岁月|you1 you5 sui4 yue4
悠悠万事|you1 you1 wan4 shi4
悠游腰饰|you1 you5 yao1 shi4
犹犹豫豫|you2 you2 yu4 yu4
优游自得|you1 you5 zi4 de2
悠游自得|you1 you5 zi4 de2
优游自如|you1 you5 zi4 ru2
优游自若|you1 you5 zi4 ruo4
优游自适|you1 you5 zi4 shi4
优游自在|you1 you5 zi4 zai4
悠游自在|you1 you5 zi4 zai4
优游卒岁|you1 you5 zu2 sui4
优于|you1 yu2
优育|you1 yu4
优裕|you1 yu4
右玉|you4 yu4
忧郁|you1 yu4
有余|you3 yu2
犹豫|you2 yu4
由于|you2 yu2
鱿鱼|you2 yu2
囿于成见|you4 yu2 cheng2 jian4
游鱼可数|you5 yu2 ke3 shu4
右玉县|you4 yu4 xian4
由于乙酰|you2 yu2 yi3 xian1
有郁者桂|you3 yu4 zhe3 gui4
忧郁症|you1 yu4 zheng4
友元|you3 yuan2
幼圆|you4 yuan2
幽怨|you1 yuan4
幽远|you1 yuan3
悠远|you1 yuan3
有缘|you3 yuan2
游园|you5 yuan2
有源底板|you3 yuan2 di3 ban3
游园会|you5 yuan2 hui4
优越|you1 yue4
优越感|you1 yue4 gan3
优越护符|you1 yue4 hu4 fu2
优越性|you1 yue4 xing4
有约在先|you3 yue1 zai4 xian1
有孕|you3 yun4
游云惊龙|you5 yun2 jing1 long2
尤云殢雪|you2 yun2 ti4 xue3
尤云殢雨|you2 yun2 ti4 yu3
优哉悠哉|you1 zai1 you1 zai1
优哉游哉|you1 zai1 you5 zai1
悠哉游哉|you1 zai1 you5 zai1
优泽|you1 ze2
有则败之|you3 ze2 bai4 zhi1
有则改之|you3 ze2 gai3 zhi1
有增无减|you3 zeng1 wu2 jian3
有增无损|you3 zeng1 wu2 sun3
有增无已|you3 zeng1 wu2 yi3
油渣|you2 zha1
油炸|you2 zha4
油炸鬼|you2 zha4 gui3
油毡|you2 zhan1
邮展|you2 zhan3
有章可循|you3 zhang1 ke3 xun2
右爪|you4 zhao3
幽爪|you1 zhao3
有沼泽的|you3 zhao3 ze2 de5
悠着|you1 zhe5
有着|you3 zhe5
游者|you5 zhe3
幽真|you1 zhen1
幽真戒|you1 zhen1 jie4
有针剌的|you3 zhen1 la2 de5
幽真项链|you1 zhen1 xiang5 lian4
幽真腰佩|you1 zhen1 yao1 pei4
邮政|you2 zheng4
邮政编码|you2 zheng4 bian1 ma3
邮政车|you2 zheng4 che1
邮政储蓄|you2 zheng4 chu3 xu4
邮政会议|you2 zheng4 hui4 yi4
邮政局|you2 zheng4 ju2
邮政局长|you2 zheng4 ju2 zhang3
有征无战|you3 zheng1 wu2 zhan4
优质|you1 zhi4
幼枝|you4 zhi1
幼稚|you4 zhi4
有致|you3 zhi4
油纸|you2 zhi3
油脂|you2 zhi1
油质|you2 zhi4
诱致|you4 zhi4
釉质|you4 zhi4
幼稚病|you4 zhi4 bing4
优质产品|you1 zhi4 chan3 pin3
釉质发生|you4 zhi4 fa1 sheng1
优质服务|you1 zhi4 fu2 wu4
优质钢|you1 zhi4 gang1
犹之乎|you2 zhi1 hu1
有志竟成|you3 zhi4 jing4 cheng2
优质皮带|you1 zhi4 pi2 dai4
优质皮裤|you1 zhi4 pi2 ku4
优质皮靴|you1 zhi4 pi2 xue1
油质体|you2 zhi4 ti3
有枝添叶|you3 zhi1 tian1 ye4
有志无时|you3 zhi4 wu2 shi2
有质无形|you3 zhi4 wu2 xing2
犹絷夏台|you2 zhi2 xia4 tai2
由之以全|you2 zhi1 yi3 quan2
有职有权|you3 zhi2 you3 quan2
有枝有叶|you3 zhi1 you3 ye4
有旨者酒|you3 zhi3 zhe3 jiu3
有志之士|you3 zhi4 zhi1 shi4
优种|you1 zhong3
有种|you3 zhong3
由衷|you2 zhong1
优种化|you1 zhong3 hua4
牖中窥日|you3 zhong1 kui1 ri4
由衷之言|you2 zhong1 zhi1 yan2
幼株|you4 zhu1
釉柱|you4 zhu4
有助芳阴|you3 zhu4 fang1 yin1
釉柱鞘|you4 zhu4 qiao4
有竹斯竿|you3 zhu2 si1 gan1
有助于|you3 zhu4 yu2
游转|you5 zhuan3
疣状癌|you2 zhuang4 ai2
疣状白斑|you2 zhuang4 bai2 ban1
疣状黄瘤|you2 zhuang4 huang2 liu2
疣状瓶霉|you2 zhuang4 ping2 mei2
疣状突起|you2 zhuang4 tu1 qi3
疣状胃炎|you2 zhuang4 wei4 yan2
疣状增生|you2 zhuang4 zeng1 sheng1
疣状痣|you2 zhuang4 zhi4
尤卓尔|you2 zhuo2 er3
幼子|you4 zi3
柚子|you4 zi3
油渍|you2 zi4
游子|you5 zi3
游资|you5 zi1
犹自|you2 zi4
由子|you2 zi3
邮资|you2 zi1
釉子|you4 zi3
油渍麻花|you2 zi4 ma2 hua1
有滋有味|you3 zi1 you3 wei4
油棕|you2 zong1
游踪|you5 zong1
游走|you5 zou3
游走核|you5 zou3 he2
游走肾|you5 zou3 shen4
游走细胞|you5 zou3 xi4 bao1
有罪|you3 zui4
油嘴|you2 zui3
油嘴花唇|you2 zui3 hua1 chun2
油嘴滑舌|you2 zui3 hua2 she2
有嘴没舌|you3 zui3 mei2 she2
有嘴没心|you3 zui3 mei2 xin1
有嘴无心|you3 zui3 wu2 xin1
油嘴油舌|you2 zui3 you2 she2
又作别论|you4 zuo4 bie2 lun4
裕安|yu4 an1
预案|yu4 an4
裕安区|yu4 an1 qu1
于安思危|yu2 an1 si1 wei1
渔霸|yu2 ba4
狱霸|yu4 ba4
雨罢寒生|yu3 ba4 han2 sheng1
窳败|yu3 bai4
鱼白|yu2 bai2
瘀斑|yu1 ban1
玉版宣|yu4 ban3 xuan1
玉版纸|yu4 ban3 zhi3
鹬蚌持争|yu4 bang4 chi2 zheng1
鹬蚌相持|yu4 bang4 xiang1 chi2
鹬蚌相斗|yu4 bang4 xiang1 dou4
鹬蚌相危|yu4 bang4 xiang1 wei1
鹬蚌相争|yu4 bang4 xiang1 zheng1
于邦之府|yu2 bang1 zhi1 fu3
预报|yu4 bao4
渝北|yu2 bei3
预备|yu4 bei4
预备党员|yu4 bei4 dang3 yuan2
预备队|yu4 bei4 dui4
余杯冷炙|yu2 bei1 leng3 zhi4
预备期|yu4 bei4 qi1
渝北区|yu2 bei3 qu1
预备生|yu4 bei4 sheng1
预备役|yu4 bei4 yi4
愚笨|yu2 ben4
御笔|yu4 bi3
于彼疏桐|yu2 bi3 shu1 tong2
预编码|yu4 bian1 ma3
鱼鳔|yu2 biao4
鱼鳔补肾|yu2 biao4 bu3 shen4
鱼鳔丸|yu2 biao4 wan2
雨鬓风鬟|yu3 bin4 feng1 huan2
于宾之馆|yu2 bin1 zhi1 guan3
语病|yu3 bing4
寓兵于农|yu4 bing1 yu2 nong2
余波|yu2 bo1
玉帛|yu4 bo2
玉帛陈|yu4 bo2 chen2
鱼帛狐篝|yu2 bo2 hu2 gou1
鱼帛狐声|yu2 bo2 hu2 sheng1
余波未平|yu2 bo1 wei4 ping2
雨布|yu3 bu4
预卜|yu4 bu3
育才|yu4 cai2
玉惨花愁|yu4 can3 hua1 chou2
预测|yu4 ce4
预测编码|yu4 ce4 bian1 ma3
预测控制|yu4 ce4 kong4 zhi4
预测模型|yu4 ce4 mo2 xing2
预测效度|yu4 ce4 xiao4 du4
雨层云|yu3 ceng2 yun2
渔叉|yu2 cha1
鱼叉|yu2 cha1
雨僝风僽|yu3 chan2 feng1 zhou4
预产期|yu4 chan3 qi1
雨僝云僽|yu3 chan2 yun2 zhou4
浴场|yu4 chang3
渔场|yu2 chang3
逾常|yu2 chang2
鱼肠尺素|yu2 chang2 chi3 su4
语长心重|yu3 chang2 xin1 zhong4
鱼肠雁足|yu2 chang2 yan4 zu2
雨辰|yu3 chen2
鱼沉鸿断|yu2 chen2 hong2 duan4
遇陈王|yu4 chen2 wang2
鱼沉雁静|yu2 chen2 yan4 jing4
鱼沉雁落|yu2 chen2 yan4 luo4
鱼沉雁渺|yu2 chen2 yan4 miao3
鱼沉雁杳|yu2 chen2 yan4 yao3
玉成|yu4 cheng2
禹城|yu3 cheng2
虞城|yu2 cheng2
雨城|yu3 cheng2
鱼城|yu2 cheng2
预成抗体|yu4 cheng2 kang4 ti3
玉成其美|yu4 cheng2 qi2 mei3
玉成其事|yu4 cheng2 qi2 shi4
雨城区|yu3 cheng2 qu1
禹城市|yu3 cheng2 shi4
禹城县|yu3 cheng2 xian4
虞城县|yu2 cheng2 xian4
于成哉|yu2 cheng2 zai1
尉迟|yu1 chi2
浴池|yu4 chi2
鱼池|yu2 chi2
鱼翅|yu2 chi4
玉尺量才|yu4 chi3 liang4 cai2
予齿去角|yu3 chi3 qu4 jiao3
鱼虫|yu2 chong2
预充步骤|yu4 chong1 bu4 zhou4
预充电|yu4 chong1 dian4
鬻宠擅权|yu4 chong3 shan4 quan2
预充液|yu4 chong1 ye4
雨愁烟恨|yu3 chou2 yan1 hen4
育雏|yu4 chu2
预处理|yu4 chu4 li3
语出月胁|yu3 chu1 yue4 xie2
渔船|yu2 chuan2
鱼传尺素|yu2 chuan2 chi3 su4
杅穿皮蠹|yu2 chuan1 pi2 du4
玉川通|yu4 chuan1 tong1
愈创木酚|yu4 chuang4 mu4 fen1
雨锤|yu3 chui2
愚蠢|yu2 chun3
鱼唇|yu2 chun2
御赐|yu4 ci4
榆次|yu2 ci4
语词|yu3 ci2
遇刺|yu4 ci4
鱼刺|yu2 ci4
逾次超秩|yu2 ci4 chao1 zhi4
阈刺激|yu4 ci4 ji1
榆次区|yu2 ci4 qu1
榆次市|yu2 ci4 shi4
与此同时|yu3 ci3 tong2 shi2
榆次县|yu2 ci4 xian4
榆次之辱|yu2 ci4 zhi1 ru3
萸苁强肾|yu2 cong1 qiang2 shen4
雨凑云集|yu3 cou4 yun2 ji2
余存|yu2 cun2
渔村|yu2 cun1
预存抗体|yu4 cun2 kang4 ti3
域大|yu4 da4
雨打风吹|yu3 da3 feng1 chui1
鱼大水小|yu2 da4 shui3 xiao3
愈带|yu4 dai4
玉带|yu4 dai4
愈带丸|yu4 dai4 wan2
余党|yu2 dang3
于党孔盛|yu2 dang3 kong3 sheng4
于党孔硕|yu2 dang3 kong3 shuo4
遇到|yu4 dao4
余地|yu2 di4
御敌|yu4 di2
钰迪|yu4 di2
雨滴|yu3 di1
玉笛才吹|yu4 di2 cai2 chui1
瘀点|yu1 dian3
雨点|yu3 dian3
阈电位|yu4 dian4 wei4
雨点小|yu3 dian3 xiao3
雨点子|yu3 dian3 zi3
玉雕|yu4 diao1
语调|yu3 diao4
语调模式|yu3 diao4 mo2 shi4
预定|yu4 ding4
预订|yu4 ding4
预定维修|yu4 ding4 wei2 xiu1
雨栋风帘|yu3 dong4 feng1 lian2
于都|yu2 du1
于都县|yu2 du1 xian4
余毒|yu2 du2
鱼肚|yu2 du4
鱼肚白|yu2 du4 bai2
鱼毒性|yu2 du2 xing4
预断|yu4 duan4
语短情长|yu3 duan3 qing2 chang2
雨断云销|yu3 duan4 yun2 xiao1
愚钝|yu2 dun4
羽盾|yu3 dun4
窳惰|yu3 duo4
渔夺侵牟|yu2 duo2 qin1 mou2
予夺生杀|yu3 duo2 sheng1 sha1
余额|yu2 e2
裕诶口|yu4 ei1 kou3
裕诶口区|yu4 ei1 kou3 qu1
育儿|yu4 er2
裕尔|yu4 er3
鱼饵|yu2 er3
鬻儿卖女|yu4 er2 mai4 nv3
愈发|yu4 fa1
语法|yu3 fa3
语法范畴|yu3 fa3 fan4 chou2
语法分析|yu3 fa3 fen1 xi1
语法关系|yu3 fa3 guan1 xi4
语法缺失|yu3 fa3 que1 shi1
语法属性|yu3 fa3 shu3 xing4
语法学|yu3 fa3 xue2
预防|yu4 fang2
预防接种|yu4 fang2 jie1 zhong3
盂方水方|yu2 fang1 shui3 fang1
预防为主|yu4 fang2 wei2 zhu3
榆枋之见|yu2 fang1 zhi1 jian4
预防注射|yu4 fang2 zhu4 she4
育肥|yu4 fei2
与非门|yu3 fei1 men2
于飞之乐|yu2 fei1 zhi1 le4
逾分|yu2 fen1
郁愤|yu4 fen4
预分|yu4 fen1
鱼粉|yu2 fen3
愈酚待因|yu4 fen1 dai4 yin1
域分解|yu4 fen1 jie3
预分配|yu4 fen1 pei4
愈酚维林|yu4 fen1 wei2 lin2
愈酚伪麻|yu4 fen1 wei3 ma2
愈风|yu4 feng1
语风|yu3 feng1
鱼峰|yu2 feng1
驭凤骖鹤|yu4 feng4 can1 he4
愈风丹|yu4 feng1 dan1
于丰古|yu2 feng1 gu3
愈风宁心|yu4 feng1 ning2 xin1
鱼峰区|yu2 feng1 qu1
鱼封雁帖|yu2 feng1 yan4 tie1
余风遗文|yu2 feng1 yi2 wen2
驭风者|yu4 feng1 zhe3
玉佛|yu4 fo2
玉佛寺|yu4 fo2 si4
与否|yu3 fou3
俞府|yu2 fu3
渔夫|yu2 fu1
渔妇|yu2 fu4
渔父|yu2 fu4
迂腐|yu1 fu3
预付|yu4 fu4
鱼腹|yu2 fu4
鱼釜尘甑|yu2 fu3 chen2 zeng4
愚夫蠢妇|yu2 fu1 chun3 fu4
吁咈都俞|yu4 fu2 dou1 yu2
预付款|yu4 fu4 kuan3
欲覆其州|yu4 fu4 qi2 zhou1
俞府穴|yu2 fu3 xue2
鱼腹穴|yu2 fu4 xue2
愚夫愚妇|yu2 fu1 yu2 fu4
雨覆云翻|yu3 fu4 yun2 fan1
迂夫子|yu1 fu1 zi3
欲盖而彰|yu4 gai4 er2 zhang1
欲盖弥彰|yu4 gai4 mi2 zhang1
余干|yu2 gan4
愈肝|yu4 gan1
语感|yu3 gan3
预感|yu4 gan3
鱼干|yu2 gan4
鱼杆|yu2 gan3
鱼竿|yu2 gan1
愈肝龙|yu4 gan1 long2
愈肝片|yu4 gan1 pian4
愈肝丸|yu4 gan1 wan2
